feature	ASV001	ASV002	ASV003	ASV004	ASV005	ASV006	ASV007	ASV008	ASV009	ASV010	ASV011	ASV012	ASV013	ASV014	ASV015	ASV016	ASV017	ASV018	ASV019	ASV020	ASV021	ASV022	ASV023	ASV024	ASV025	ASV027	ASV028	ASV029	ASV030	ASV032	ASV033	ASV034	ASV035	ASV036	ASV037	ASV038	ASV039	ASV041	ASV042	ASV043	ASV044	ASV045	ASV046	ASV048	ASV049	ASV051	ASV055	ASV056	ASV058	ASV059	ASV061	ASV063	ASV066	ASV067	ASV068	ASV069	ASV071	ASV072	ASV073	ASV079	ASV081	ASV086	ASV090	ASV095	ASV097	ASV105
DINP_high_wk40_control_d2_A	0.00833676256966794	0.777378543551034	0.00360555908753745	0.0737665563340572	0	0.229922906388254	0.23285266193197	0.338248322233543	0.0415984723567043	0.146275098199054	0.00977768104453563	0.212768981270856	0.187033862795266	0	0.0324335444236285	0.175504047528217	0.0739142070745555	0.126151570971814	0.0169357143502562	0.151808690134504	0.0393412039083484	0.0449174967404166	0.214708030270408	0.0711793206024001	0.0372980559163136	0.0212598469310602	0.0975049686111671	0.0262880994982665	0.0520117633976692	0.0473234328692051	0.0990182387698805	0.0408066056979796	0.0119750513387724	0.060847588875206	0.0796799333173573	0	0.0193324483471644	0.0743554264447864	0.0364130046290946	0.0218645872509598	0.0121551748804523	0.0312036210631077	0.0454471740631604	0.014138504846379	0	0.0425804121876382	0.0046583427273173	0.00625304002977436	0.0369465696183011	0	0	0.00510883813338815	0.00721809565110325	0.00625304002977436	0.0138277325072193	0	0	0.014138504846379	0	0.0046583427273173	0.0125075640140883	0.0065955007971066	0.00551364743689039	0.014138504846379	0.0128503342067597	0.00691380948773901
DINP_high_wk40_control_d2_B	0.0120506028559745	0.589735702089812	0.0151064343426316	0.16360935953147	0.00566571650154509	0.198788877057339	0.532437044181294	0.266575807207506	0.0347480198004527	0.213264296710263	0.034062320103285	0.168474190280313	0.16062595389836	0	0.0564507356049546	0.0768308395859197	0.114312053434695	0.10051113018574	0.0554543773576492	0.104975207514273	0.0286784318135986	0.118086815231113	0.170758080534729	0.127637911094098	0.130730508108853	0.0408644138024501	0.159529370737011	0.054353022492508	0.054266043598097	0.0395974029739448	0.0841040090517361	0.0282809159926904	0.0527655281976297	0.0601467731665807	0.048687683074157	0	0.0157183124547412	0.032064564654084	0.0366770921373313	0.0267023865696923	0.0214526594024973	0.039858752686462	0.0991035822141752	0.0192758142739973	0.0107256893188465	0.0497241497232847	0.0116527741734917	0.0165939227770778	0.0168197109656675	0.0108132583989384	0.017207737362739	0.0180634018412872	0.0435484852062468	0.00673057828470382	0.0152925547226665	0.012511321567832	0	0.0134555537357718	0	0.00812412777171264	0.0092142499846053	0.00549548032643463	0.00336155359374053	0.00194165000389948	0.0049497676799975	0.0099951651735855
DINP_high_wk40_control_d2_C	0.0159408444984397	0.487404300852389	0.0110475320843375	0.116827813996713	0.00761584672692546	0.20123025901297	0.487940787674514	0.301249169780962	0.0568384239852502	0.263717984596957	0.0216387864129303	0.13617931014486	0.339505377926747	0	0.0389267930682845	0.0989307979990497	0.113061174413084	0.135328851241353	0.029095271897485	0.148120231924743	0.0225890633822136	0.0797602719113243	0.137009832646853	0.104197028743403	0.176900865961689	0.0672636624367311	0.131934915895742	0.0909487146461304	0.0677689563935485	0.070012261138491	0.092244660735711	0.0397414557961946	0.0379103069682516	0.0464791480143343	0.0420911632021301	0	0.0133443834513151	0.0325383403580561	0.049546615762206	0.0597116532919559	0.0228970438023387	0.062597807492706	0.0694942986789707	0.0180596084199162	0.0118345062590649	0.0285044563257842	0.0173244054965717	0.0382259412593597	0.0642582530979111	0.0166770136156937	0.0131175405133811	0.0445871287273643	0.0378574370867623	0	0.018443361063202	0.00282843089599593	0	0.0151690028650913	0	0.0292667819933834	0.00905550889963449	0.0125723238834231	0.00848538320091428	0.012002371321213	0.0131175405133811	0.012002371321213
DINP_high_wk40_control_d2_D	0.0167044590837358	0.424029815333517	0.230241491087155	0.165990028105121	0	0	0.65673360150605	0.392825582082032	0.0173650599952637	0.229470644503744	0	0.117300479068566	0.127806609662504	0.0110231992431847	0.110515750777017	0.0843963155610449	0.130972065256351	0.135660442782186	0.0543811279071666	0.0963738374499432	0.0196167876878594	0.103764666866776	0.0870343175321039	0.116513827766228	0.0718758596869182	0.0150009292604035	0.100852251067141	0.037569694819289	0.0543603865888401	0.0276221111963413	0.0178128761865837	0.0326639004536516	0.0126398776997436	0.0613383825816979	0.0252817556078965	0	0.00450556737435149	0.0552245059424456	0.0250132059678701	0.0562960889697771	0.0584577273473678	0.0201823016930744	0.0176223478906403	0.0876299354967908	0	0.0335145413430476	0.0121866464634588	0.0325603379048974	0.00367424288125287	0.0212682909461964	0	0.0281468860878245	0	0.00600003600058321	0.00561251554613052	0.00497998042325921	0.0249230536254738	0.0195593144893369	0.00835473662504047	0.00259807913419793	0.00687755376439523	0	0.00474343427824451	0	0.00450556737435149	0
DINP_high_wk40_control_d2_E	0.00859079830699457	0.784386758707711	0.373548020461573	0.161041925056383	0.105798493373168	0	0.292138846360765	0.291361352361671	0.0164717496650634	0.172730071722442	0.0129989813883785	0.0453600679459864	0.101780059454255	0.151434944333891	0.119407822149333	0.0949245890648081	0.111084767909554	0.0524515112942962	0.0271206621833715	0.0922906741982362	0.0176573611111143	0.101544349771594	0.0650389122488161	0.0385449690221847	0.0427920956135032	0.0244426260760099	0.0893529417740644	0.0526556599431332	0.0278141237182899	0.0238011126493355	0.00487854371874743	0.0162535615347959	0.00534792227481779	0.052542340533154	0.00816097289374982	0.0465015397465159	0.0313175287368069	0.0115443891329036	0.0251625439205506	0.0489485948534437	0.0533752134272544	0.0228832120499256	0.0675765789992737	0.0212095367534792	0.0182539038805781	0.0103486145437147	0.00511861590828328	0.010798774598762	0	0.00816097289374982	0.00739601226286374	0.0313555284593864	0	0	0.00617255894097679	0.0318079418290404	0.0057706472458958	0.00739601226286374	0.0336630358513669	0	0.0129989813883785	0	0.00344964450395007	0	0.00435891274683868	0
DINP_high_wk40_control_d2_F	0.0047749526994628	0.694237994061493	0.602865874170932	0.132448420584651	0.171648581124611	0	0.254436923894548	0.149404258893653	0.00799383269254412	0.196430553481978	0.0168164103195403	0.0480097945480808	0.0874619433426851	0.111176703879545	0.115936646823369	0.0720096421118546	0.0708887717991348	0.0486243020863856	0.0280116262356891	0.0961784251410801	0.0113007272429131	0.0821389156688874	0.0441957624375329	0.033907898353458	0.0428847543518799	0.0307305912784729	0.0771353676352346	0.0280929634970681	0.0225016988185853	0.0124528316343846	0.00604155973999913	0.0158385913633397	0	0.0588304943088273	0.0115007317768069	0.0286558325917034	0.0108896137346335	0.0118907385621485	0.0265909879213283	0.0458192727680009	0.0507391518043662	0.0236870202257431	0.0777561893849773	0.0265909879213283	0.021142814490374	0.00739601226286374	0.0104624086097679	0.0106781240689382	0	0.0106781240689382	0	0.021142814490374	0	0.00426615874228856	0.00675282852861356	0.0250900993319588	0.00564803852758676	0	0.0204852556135573	0	0.00978790372703207	0	0.00370135955613481	0	0.00564803852758676	0
DINP_high_wk40_control_d2_G	0.0108784956761715	0.802269048485502	0.448109839966732	0.155598615168957	0.111883901432447	0	0.295403262337176	0.174069228307048	0.0115721207021184	0.215281286009772	0.0117059070045946	0.0646432626988109	0.111095287221717	0.0835990547419843	0.0789618803684995	0.0618792022977057	0.0937323138498735	0.0483790912195125	0.0290545437461815	0.0915517097792503	0.0189253205874888	0.0964829349144506	0.0644255108232206	0.0564448681824101	0.0534929841353547	0.0237436925291545	0.0666883650293667	0.0409050243207497	0.0273418593373724	0.0262370147236642	0.00846177929980402	0.0132061023148366	0.0171101305572899	0.0450407533490499	0.0161743566312722	0.0138956261965285	0.0163657847873828	0.0155859446192854	0.0206566378331047	0.03664411169009	0.0480881061187163	0.0270554724571709	0.0593294206010837	0.041397460740232	0.0200443709135008	0.0102899823648617	0.00636400398819879	0.0105883516057257	0.00557676630393287	0.00705697007942908	0	0.0194128137606516	0	0.00499001068864032	0.00966451799099116	0.026590856235395	0.0076942295423401	0.00636400398819879	0.022323614776127	0	0.0155859446192854	0	0	0	0.00660307759064425	0
DINP_high_wk40_dinp_d2_A	0.0160827640685819	0.639678864634429	0.00832475830815342	0.142401069440605	0	0.130675520292741	0.510998937829011	0.239449612782423	0.0528605393147977	0.173484402254459	0.0108315552034225	0.214339281982556	0.178213466838849	0	0.0557866844488382	0.137762942669297	0.0910115303955618	0.129639593632693	0.0501109387373298	0.148717986129746	0.0394707345994279	0.122059708057618	0.18378489368599	0.115778717740403	0.102059256319241	0.0188324700020471	0.121905169893801	0.0397738736395016	0.051529956710545	0.0418025792258339	0.0741080066507196	0.0395383034833848	0.0110750175959517	0.0518142616454446	0.0724095304664389	0	0.0275213591901342	0.0720762006888372	0.0351047737733426	0.0216027450057998	0.02804942627218	0.0278106342634828	0.0573222062402557	0.0192526308579626	0	0.0549664766292572	0.0103274775156614	0.00909407938517646	0.0422788102440504	0.00364692458980873	0	0.0247664773588151	0	0.00653457020600242	0.0164110382754062	0	0.00327109128022303	0.0175876346518708	0	0.00748338461957924	0.0110750175959517	0.00766166748164473	0.00712045341626286	0	0.00965934271958469	0.0142356485323295
DINP_high_wk40_dinp_d2_B	0.0128970625397138	0.616745547004161	0.0160754551903369	0.235792713321738	0.00959702180933718	0.216893345138902	0.429359202056161	0.341369755254841	0.0376089051256231	0.193225347329548	0.0336898255656367	0.114240207350002	0.155336466910552	0	0.0752513448483888	0.0818573623622976	0.12254613123077	0.131663888540718	0.0549062861162359	0.122484911815674	0.0324769577135756	0.106452137378035	0.146874094326239	0.114187744648344	0.131777945413432	0.0319696599010791	0.157066264410227	0.0477160082299859	0.0585273821399052	0.0372913865924406	0.126177802621151	0.0299539031218462	0.0496709609843181	0.0362812275331215	0.0434760694217504	0	0.0186424585228661	0.0323853148082981	0.0303970812117072	0.0145220805865794	0.0219370050338206	0.0545255549899162	0.093310327606627	0.0135704570431511	0.00895556497966737	0.0516097473508158	0.0195752635384266	0.0136794616839985	0.013125353048673	0.00808092948941127	0.017993747299989	0.0275778132806668	0.00844403307832074	0.0064498509181323	0.0107628282891398	0.00516722726744082	0	0.0203929067635851	0	0.00667837278602397	0	0.00544979761410069	0	0.0114319592881577	0.00596660895830743	0.0064498509181323
DINP_high_wk40_dinp_d2_C	0.0135407239693546	0.45241949769643	0.0111753836183567	0.140600885829374	0.00710639501478982	0.17463924283066	0.519273314177643	0.317112161826096	0.0597501923145715	0.255330524397614	0.0180056111848093	0.136067828584618	0.329696054277342	0	0.0402704911926907	0.0992756995613252	0.110346650468771	0.137043084034931	0.0282372784908194	0.157183506856768	0.0185866559635859	0.0782720074331831	0.143172772569613	0.0931196254846097	0.179292800062551	0.0660605894387268	0.150408260893568	0.0877274649784802	0.0668226702111664	0.070340021267342	0.0988031102006896	0.0380634149994424	0.0398722121577456	0.0434174412409158	0.0435703565866697	0	0.0135407239693546	0.0344316486158165	0.0490029636857712	0.0566618428707761	0.0254651558171782	0.0644889298334201	0.0683019843410271	0.0184431170160142	0.00798757515517088	0.0276185431678694	0.0175572398957514	0.0355712887779747	0.0495699497524882	0.016703950135146	0.0131423720865366	0.0460926579930459	0.0420161705278092	0	0.0156356618615937	0	0	0.0153786099422083	0	0.0303255812565826	0.00747000923097746	0.0125210699566027	0.00907756924252308	0	0.0128354994966028	0.0132430831903921
